signal,program_code,exhibition_date,program_start_time,average_audience
SP1,PTV1,2020-06-05,2020-06-05T15:01:00.000Z,933891.9638554216
SP1,VALE,2020-06-24,2020-06-24T19:36:00.000Z,1835375.0114942528
BH,PTV1,2020-05-23,2020-05-23T15:01:00.000Z,287481.25
DF,AUTO,2020-05-03,2020-05-03T12:14:00.000Z,86494.80645161291
DF,FGGE,2020-05-03,2020-05-03T18:46:00.000Z,152165.61151079138
DF,COR1,2020-04-17,2020-04-17T05:47:00.000Z,18237.287128712873
RJ,BIAL,2020-06-11,2020-06-11T04:28:00.000Z,508514.5675675676
BH,PTV2,2020-06-15,2020-06-15T22:13:00.000Z,918134.9642857143
SP1,NBRA,2020-04-14,2020-04-14T11:30:00.000Z,793537.4269662921
SP1,JNAS,2020-05-30,2020-05-30T23:30:00.000Z,2502253.6285714284
DF,PTV1,2020-06-03,2020-06-03T15:01:00.000Z,230077.29761904763
DF,HORA,2020-06-12,2020-06-12T07:00:00.000Z,26834.4
RJ,MALH,2020-06-16,2020-06-16T21:04:00.000Z,1599450.423076923
DF,BPRA,2020-06-19,2020-06-19T09:00:00.000Z,73582.28859060403
BH,CORO,2020-05-07,2020-05-07T12:50:00.000Z,120102.32075471699
BH,JNAC,2020-06-17,2020-06-17T23:30:00.000Z,853314.8769230769
RJ,FATI,2020-06-02,2020-06-02T13:00:00.000Z,489044.51666666666
RJ,N18S,2020-05-09,2020-05-09T21:32:00.000Z,1441515.8
RJ,SSAB,2020-05-23,2020-05-23T17:14:00.000Z,888290.1649484537
PE1,N20H,2020-04-22,2020-04-23T00:38:00.000Z,1032784.9677419355
PE1,TARA,2020-04-23,2020-04-23T17:56:00.000Z,456240.9906542056
RJ,PTV2,2020-06-01,2020-06-01T22:08:00.000Z,1726546.0
SP1,GRUD,2020-06-28,2020-06-28T11:30:00.000Z,905705.8275862068
BH,SHT1,2020-04-28,2020-04-29T01:43:00.000Z,574049.0697674418
SP1,TARA,2020-05-01,2020-05-01T17:58:00.000Z,1532622.4166666667
SP1,COR1,2020-04-21,2020-04-21T05:01:00.000Z,516454.7731092437
DF,JGLO,2020-05-08,2020-05-08T03:15:00.000Z,45026.619047619046
BH,JGLO,2020-05-20,2020-05-20T03:34:00.000Z,108195.8
PE1,PTV1,2020-04-24,2020-04-24T15:15:00.000Z,438415.2
SP1,PTV1,2020-04-27,2020-04-27T15:01:00.000Z,1247132.096385542
PE1,FATI,2020-06-15,2020-06-15T13:00:00.000Z,182032.275
SP1,PTV1,2020-06-29,2020-06-29T15:01:00.000Z,1093146.8674698796
SP1,BPRA,2020-06-30,2020-06-30T09:00:00.000Z,598291.4429530201
DF,N18H,2020-04-15,2020-04-15T21:36:00.000Z,244310.69696969696
DF,JHOJ,2020-04-15,2020-04-15T16:25:00.000Z,273910.27777777775
DF,TARA,2020-04-15,2020-04-15T17:56:00.000Z,200937.16346153847
BH,SHOV,2020-06-28,2020-06-28T15:39:00.000Z,250689.45714285714
BH,VOIK,2020-04-12,2020-04-12T15:30:00.000Z,341110.8333333333
DF,CORO,2020-05-18,2020-05-18T12:49:00.000Z,84015.4
BH,GRUD,2020-06-21,2020-06-21T11:29:00.000Z,197460.0344827586
